Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Kelly C., Ellis G., Flannery W.","56038757300;57189018678;23979784100;","Unravelling persistent problems to transformative marine governance",2019,"Frontiers in Marine Science","6","APR","213","","",,38,"10.3389/fmars.2019.00213",2-s2.0-85064600785
"Kok M, Tsioumani E, Bliss CO, Immovilli M, Keune K, Morgera E, Rüegg SR, Schapper A, Vijge MJ, Zinngrebe Y","",[No title available],2022,"Enabling Transformative Biodiversity Governance in the Post-2020 Era",,,,"341","360",,1,,2-s2.0-85146377200
"Linnér B.-O., Wibeck V.","12143477900;12761426500;","Sustainability transformations: Agents and drivers across societies",2019,"Sustainability Transformations: Agents and Drivers across Societies",,,,"1","230",,50,"10.1017/9781108766975",2-s2.0-85066958579
"McAteer B., Flannery W.","57215366493;23979784100;","Power, knowledge and the transformative potential of marine community science",2022,"Ocean and Coastal Management","218",,"106036","","",,5,"10.1016/j.ocecoaman.2022.106036",2-s2.0-85122564730
"McPhearson T., Raymond C.M., Gulsrud N., Albert C., Coles N., Fagerholm N., Nagatsu M., Olafsson A.S., Soininen N., Vierikko K.","","Radical changes are needed for transformations to a good Anthropocene",2021,"npj Urban Sustain","1","1",,"1","13",,57,,2-s2.0-85105547937
"Meadows D.H.","",[No title available],2008,"Thinking in Systems: A Primer",,,,"","",,2710,,2-s2.0-67650158783
"Meadows D., Randers J., Meadows D.","",[No title available],2004,"Limits to Growth: The 30-Year Update",,,,"","",,1903,,2-s2.0-12444265836
"Moore M.-L., Tjornbo O., Enfors E., Knapp C., Hodbod J., Baggio J.A., Norström A., Olsson P., Biggs D.","37119327700;55502744900;23097133400;26323273600;55798247700;36676846800;16022849300;34572074500;37118524700;","Studying the complexity of change: Toward an analytical framework for understanding deliberate social-ecological transformations",2014,"Ecology and Society","19","4","54","","",10,217,"10.5751/ES-06966-190454",2-s2.0-84924411438
"Nalau J., Handmer J.","56487906700;7003462665;","When is transformation a viable policy alternative?",2015,"Environmental Science and Policy","54",,,"349","356",,64,"10.1016/j.envsci.2015.07.022",2-s2.0-84939445627
"O'Brien K.","7202076921;","Global environmental change II: From adaptation to deliberate transformation",2012,"Progress in Human Geography","36","5",,"667","676",,664,"10.1177/0309132511425767",2-s2.0-84857938593
"O'Brien K.","7202076921;","Is the 1.5°C target possible? Exploring the three spheres of transformation",2018,"Current Opinion in Environmental Sustainability","31",,,"153","160",,178,"10.1016/j.cosust.2018.04.010",2-s2.0-85046152593
