Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Jørgensen U.","15062579900;","Mapping and navigating transitions - The multi-level perspective compared with arenas of development",2012,"Research Policy","41","6",,"996","1010",,193,"10.1016/j.respol.2012.03.001",2-s2.0-84860213981
"Hekkert M.P., Suurs R.A.A., Negro S.O., Kuhlmann S., Smits R.E.H.M.","6602626379;8634011100;15136698900;7004684365;7005330266;","Functions of innovation systems: A new approach for analysing technological change",2007,"Technological Forecasting and Social Change","74","4",,"413","432",,1487,"10.1016/j.techfore.2006.03.002",2-s2.0-34147185181
"Suurs R.A.A.","","Motors of sustainable innovation",2009,"Motors of Sustainable Innovation: Towards a Theory on the Dynamics of Technological Innovation Systems",,,,"","",,138,,2-s2.0-69549090863
"Van Raak R.","","Transition Policies. Connecting system dynamics, governance and instruments in an application to Dutch Healthcare (PhD thesis)",2016,"Transition Policies: Connecting System Dynamics, Governance and Instruments in an Application to Dutch Healthcare",,,,"","",,17,,2-s2.0-85027145268
"Frantzeskaki N., Loorbach D., Meadowcroft J.","7801567129;24450788200;8667228200;","Governing societal transitions to sustainability",2012,"International Journal of Sustainable Development","15","1-2",,"19","36",,164,"10.1504/IJSD.2012.044032",2-s2.0-84857199903
"Shove E., Walker G.","6602804089;7402390532;","Governing transitions in the sustainability of everyday life",2010,"Research Policy","39","4",,"471","476",,568,"10.1016/j.respol.2010.01.019",2-s2.0-77950110299
"Cohen M.J., Brown H.S., Vergragt P.J.","8564338200;7401501174;8267348700;","Innovations in sustainable consumption",2013,"Innovations in Sustainable Consumption",,,,"1","289",,10,"10.4337/9781781001349",2-s2.0-84890702515
"Cohen M.J., Szejnwald Brown H., Vergragt P.J.","",[No title available],2017,"Social Change and the Coming of Post-consumer Society: Theoretical Advances and Policy Implications",,,,"","",,4,,2-s2.0-85031750025
"Tukker A., Emmert S., Charter M., Vezzoli C., Sto E., Munch Andersen M., Geerken T., Tischner U., Lahlou S.","6701524162;24173091400;25029784200;6507316040;15053769300;24173754100;24173198400;14032581000;8299748700;","Fostering change to sustainable consumption and production: an evidence based view",2008,"Journal of Cleaner Production","16","11",,"1218","1225",,222,"10.1016/j.jclepro.2007.08.015",2-s2.0-43149117224
"Coenen L., Benneworth P., Truffer B.","10540364400;6505965654;6603148005;","Toward a spatial perspective on sustainability transitions",2012,"Research Policy","41","6",,"968","979",,701,"10.1016/j.respol.2012.02.014",2-s2.0-84860218185
"Loorbach D., Avelino F., Haxeltine A., Wittmayer J.M., O'Riordan T., Weaver P., Kemp R.","24450788200;35104401200;6602183174;36660208600;7004846240;57210229562;35619497400;","The economic crisis as a game changer? Exploring the role of social construction in sustainability transitions",2016,"Ecology and Society","21","4","15","","",,30,"10.5751/ES-08761-210415",2-s2.0-85008149984
"Konrad K., Truffer B., Voß J.-P.","14043766900;6603148005;24767026300;","Multi-regime dynamics in the analysis of sectoral transformation potentials: evidence from German utility sectors",2008,"Journal of Cleaner Production","16","11",,"1190","1202",,106,"10.1016/j.jclepro.2007.08.014",2-s2.0-43049149079
"Beers P.J., Sol J., Wals A.","","Social learning in a multi-actor innovation context",2010,"Proceedings of the 9th European International Farming Systems Association (IFSA) Symposium",,,,"144","153",,13,,2-s2.0-84879884137
"Fuenfschilling L., Truffer B.","56099813200;6603148005;","The structuration of socio-technical regimes - Conceptual foundations from institutional theory",2014,"Research Policy","43","4",,"772","791",,440,"10.1016/j.respol.2013.10.010",2-s2.0-84897614804
"Brown R.R., Farrelly M.A., Loorbach D.A.","26422021400;22955647700;24450788200;","Actors working the institutions in sustainability transitions: The case of Melbourne's stormwater management",2013,"Global Environmental Change","23","4",,"701","718",,186,"10.1016/j.gloenvcha.2013.02.013",2-s2.0-84878582284
"Shove E., Walker G.P.","6602804089;7402390532;","Transition Management™ and the politics of shape shifting",2008,"Environment and Planning A","40","4",,"1012","1014",,47,"10.1068/a4004leb",2-s2.0-43349097251
"Hendriks C.M.","9745241200;","Policy design without democracy? Making democratic sense of transition management",2009,"Policy Sciences","42","4",,"341","368",,130,"10.1007/s11077-009-9095-1",2-s2.0-72449144656
"Meadowcroft J.","8667228200;","What about the politics? Sustainable development, transition management, and long term energy transitions",2009,"Policy Sciences","42","4",,"323","340",,644,"10.1007/s11077-009-9097-z",2-s2.0-72449205945
"Kern F., Howlett M.","35229759300;7004315057;","Implementing transition management as policy reforms: A case study of the Dutch energy sector",2009,"Policy Sciences","42","4",,"391","408",,269,"10.1007/s11077-009-9099-x",2-s2.0-72449152852
